phase_order,stage,substage,scope,family,method,run_label,model_or_checkpoint,roi_version,calibration,display_threshold,image_auroc,image_ap,image_f1,pixel_auroc,pixel_ap,pixel_f1,aupimo,defect_coverage_mean,pixel_weighted_coverage,display_precision,display_recall,pixels_displayed_pct,primary_metric,story_decision,source_path,notes
13,feature_ae,first_casting_matrix,Casting_class1,feature_ae,Feature AE layer1+layer2 topk001,feature_ae_tile256_l12_topk001,resnet18 layer1+layer2,,per_layer,,0.5395,0.6300,,0.9242,0.0579,,,,,,,,pixel_ap,Layer1 adds fine noise and hurts decision quality,reports/docs/final_feature_ae_synthesis.md,
14,feature_ae,first_casting_matrix,Casting_class1,feature_ae,Feature AE layer2+layer3 topk001,feature_ae_tile256_l23_topk001,resnet18 layer2+layer3,,per_layer,,0.7105,0.7485,,0.9136,0.0805,,,,,,,,pixel_ap,Layer2+layer3 becomes the useful feature compromise,reports/docs/final_feature_ae_synthesis.md,
15,feature_ae,first_casting_matrix,Casting_class1,feature_ae,Feature AE layer2+layer3 topk0001,feature_ae_tile256_l23_topk0001,resnet18 layer2+layer3,,per_layer,,0.8026,0.8190,,0.9136,0.0805,,,,,,,,image_ap,Top-k selective scoring improves image-level,reports/docs/final_feature_ae_synthesis.md,
16,feature_ae,roi_rescore,Casting_class1,feature_ae,Rescore functional surface gaussian,feature_ae_rescore_surface_gaussian,resnet18 layer2+layer3,early functional surface,per_layer,,0.7982,0.8174,,0.9143,0.0805,,,,,,,,image_ap,ROI helps but early segmentation is still fragile,reports/docs/final_feature_ae_synthesis.md,
17,feature_ae,roi_rescore,Casting_class1,feature_ae,Rescore contour closed v4,feature_ae_rescore_contour_closed_v4,resnet18 layer2+layer3,contour closed v4,per_layer,,0.8026,0.8216,,0.9103,0.0849,,,,,,,,pixel_ap,Better ROI raises pixel AP slightly,reports/docs/final_feature_ae_synthesis.md,
18,feature_ae,roi_rescore,Casting_class1,feature_ae,Rescore weak GT ring v1,feature_ae_rescore_weak_gt_ring_v1,resnet18 layer2+layer3,weak GT ring v1,per_layer,,0.8026,0.8470,,0.9175,0.0817,,,,,,,,image_ap,Image AP improves but ROI remains unstable,reports/docs/final_feature_ae_synthesis.md,
19,roi,roi_threshold_matrix,Casting_class1,segmentation,ROI hard threshold 0.65 rescore,feature_ae_roi_seg_v4_thr065,resnet18 layer2+layer3,ROI v4 hard threshold 0.65,per_layer,,0.7193,0.7976,,0.8501,0.1036,,0.0214,,,,,aupimo,Hard ROI helps pixel AP but AUPIMO gain remains small,reports/docs/final_feature_ae_synthesis.md,
20,roi,roi_threshold_matrix,Casting_class1,segmentation,ROI hard threshold 0.50 rescore,feature_ae_roi_seg_v4_thr050,resnet18 layer2+layer3,ROI v4 hard threshold 0.50,per_layer,,0.7237,0.7993,,0.8658,0.1046,,0.0211,,,,,pixel_ap,More permissive ROI improves pixel AP,reports/docs/final_feature_ae_synthesis.md,
21,feature_ae,v15_roi_training,Casting_class1,feature_ae,Feature AE 256 ROI V15,fulltrain_best_v15roi_p65_p995,resnet18 dual-context candidate,ROI V15,calibrated,,0.8202,0.8168,,0.9390,0.0872,,,,,,,,image_auroc,Best historical recent metric before V21/V36 path,reports/docs/final_feature_ae_synthesis.md,
22,feature_ae,v15_context_training,Casting_class1,feature_ae,Large context 512 to input 256,largecontext512to256,resnet18 dual-context candidate,ROI V15,calibrated,,0.7018,0.7599,,0.9225,0.0686,,,,,,,,pixel_ap,Heatmaps cleaner but micro-defects diluted,reports/docs/final_feature_ae_synthesis.md,
23,feature_ae,v15_context_training,Casting_class1,feature_ae,Dual context local256 context512,dualcontext_local256_context512,resnet18 dual-context candidate,ROI V15,calibrated,,0.7588,0.7990,,0.9389,0.0871,,,,,,,,pixel_ap,Context helps when local branch remains precise,reports/docs/final_feature_ae_synthesis.md,
24,feature_ae,v21_epoch_selection,Casting_class1,feature_ae,V21 reference epoch 8,Casting_multiclass_feature_ae_dualcontext_gated_local384_context768_v21roi_epoch008,resnet18 layer2+layer3,ROI V21,median_mad per_layer,,0.7275,0.7914,,0.9449,0.1426,,0.0595,,,,,pixel_ap,V21 raises pixel AP and validates 384/768 local/context path,reports/tables/raw/feature_ae_reference_v21_epoch_matrix_summary.csv,
25,feature_ae,v21_epoch_selection,Casting_class1,feature_ae,V21 reference epoch 15,Casting_multiclass_feature_ae_dualcontext_gated_local384_context768_v21roi_epoch015,resnet18 layer2+layer3,ROI V21,median_mad per_layer,,0.7275,0.7889,,0.9440,0.1409,,0.0610,,,,,aupimo,Epoch 15 has best AUPIMO in V21 reference sweep,reports/tables/raw/feature_ae_reference_v21_epoch_matrix_summary.csv,
26,feature_ae,v21_epoch_fusion,Casting_class1,feature_ae,V21 epoch fusion 8/20 w30_70,feature_ae_epoch_fusion_8_20_w30_70,resnet18 layer2+layer3,ROI V21,median_mad per_layer,,0.7285,0.7887,,0.9447,0.1446,,0.0614,,,,,pixel_ap,Fusion improves pixel AP slightly but not enough for retained configuration,reports/tables/raw/feature_ae_epoch_fusion_matrix_summary.csv,
27,feature_ae,resnet50_legacy,Casting_class1,feature_ae,ResNet50 narrow layer2+layer3 epoch 7,resnet50_l23_narrow_epoch007,resnet50 layer2+layer3,,calibrated,,0.6590,0.7257,,,0.1042,,0.0323,,,,,aupimo,ResNet50 path remains inferior and was pruned from active code,reports/docs/final_feature_ae_synthesis.md,
28,segmentation,business_roi_coverage,Casting_class1,segmentation,ROI V34 ImageNet 384/768,casting_class1_v34_direct_imagenet_384_768_synthv4_best,functional_unet_resnet18,ROI V34,,, ,,,,,,,0.9905,0.9944,,,,pixel_weighted_coverage,Strong but one image below threshold,reports/casting_surface_features/Casting_class1_v34_v35_v36_business_best_test_comparison_previews/coverage_comparison.csv,
29,segmentation,business_roi_coverage,Casting_class1,segmentation,ROI V35 e11 384/768 FT,v35_e11_latest,functional_unet_resnet18,ROI V35,,, ,,,,,,,0.9987,0.9979,,,,defect_coverage_mean,Best raw defect coverage retained as business ROI reference,reports/casting_surface_features/Casting_class1_v34_v35_v36_business_best_test_comparison_previews/coverage_comparison.csv,
30,segmentation,business_roi_coverage,Casting_class1,segmentation,ROI V36 e28 512/1024,v36_e28_mfgbest,functional_unet_resnet18,ROI V36,,, ,,,,,,,0.9985,0.9977,,,,pixel_weighted_coverage,High-resolution ROI retained for RD AE pipeline,reports/casting_surface_features/Casting_class1_v34_v35_v36_business_best_test_comparison_previews/coverage_comparison.csv,
31,feature_ae,rd_ae_training,Casting_class1,feature_ae,RD AE V36 layer2+layer3 epoch 1,Casting_class1_reverse_distill_ms_dualcontext_v36roi_e28_layer23_metricbest_v1_epoch001,reverse distillation resnet18 layer2+layer3,ROI V36,metric eval,,0.8289,0.8995,,0.9695,0.2477,,0.0700,,,,,pixel_ap,Already beats old reference on pixel AP before calibration,conversation_log_user_metrics,Training log provided by user.
32,feature_ae,rd_ae_training,Casting_class1,feature_ae,RD AE V36 layer2+layer3 epoch 2,Casting_class1_reverse_distill_ms_dualcontext_v36roi_e28_layer23_metricbest_v1_epoch002,reverse distillation resnet18 layer2+layer3,ROI V36,metric eval,,0.8772,0.9237,,0.9746,0.2860,,0.0967,,,,,pixel_ap,Best RD AE checkpoint before post-hoc calibration,reports/registries/casting_pipeline_manifest.csv,
33,feature_ae,rd_ae_training,Casting_class1,feature_ae,RD AE V36 layer2+layer3 epoch 3,Casting_class1_reverse_distill_ms_dualcontext_v36roi_e28_layer23_metricbest_v1_epoch003,reverse distillation resnet18 layer2+layer3,ROI V36,metric eval,,0.8114,0.8942,,0.9681,0.2544,,0.0729,,,,,pixel_ap,Metrics drop after epoch 2; confirms early metric stopping,conversation_log_user_metrics,Training log provided by user.
34,feature_ae,rd_ae_training,Casting_class1,feature_ae,RD AE V36 layer1+layer2+layer3 epoch 1,Casting_class1_reverse_distill_ms_dualcontext_v36roi_e28_metricbest_v1_epoch001,reverse distillation resnet18 layer1+layer2+layer3,ROI V36,metric eval,,0.8640,0.9255,,0.9705,0.2414,,0.0728,,,,,image_ap,Layer1 improves image AP early but adds localization noise,conversation_log_user_metrics,Training log provided by user.
35,feature_ae,rd_ae_training,Casting_class1,feature_ae,RD AE V36 layer1+layer2+layer3 epoch 2,Casting_class1_reverse_distill_ms_dualcontext_v36roi_e28_metricbest_v1_epoch002,reverse distillation resnet18 layer1+layer2+layer3,ROI V36,metric eval,,0.8465,0.9203,,0.9755,0.2712,,0.0785,,,,,pixel_ap,Three-layer variant improves pixel AP but remains below layer23 epoch2,conversation_log_user_metrics,Training log provided by user.
36,feature_ae,rd_ae_training,Casting_class1,feature_ae,RD AE V36 layer1+layer2+layer3 epoch 3,Casting_class1_reverse_distill_ms_dualcontext_v36roi_e28_metricbest_v1_epoch003,reverse distillation resnet18 layer1+layer2+layer3,ROI V36,metric eval,,0.8553,0.9197,,0.9751,0.2669,,0.0750,,,,,pixel_ap,No improvement over epoch2; layer23 remains preferred,conversation_log_user_metrics,Training log provided by user.
37,calibration,old_retained configuration,Casting_class1,feature_ae,Old RD V15 calibrated heatmap,old_heatmap_reference_rd_v15_calibrated,feature AE/RD historical,ROI V15,posthoc calibrated,, ,0.8461,,,0.2251,,0.0571,,,,,pixel_ap,Former reference used as baseline for final improvement,reports/docs/synthese_projet.md,
38,calibration,posthoc,Casting_class1,feature_ae,RD V36 hard ROI post-hoc,rd_v36_hard_roi_posthoc,reverse distillation resnet18 layer2+layer3,ROI V36,hard ROI,, ,0.9270,,,0.2872,,0.1011,,,,,aupimo,Post-hoc ROI already improves epoch2,reports/docs/synthese_projet.md,
39,calibration,posthoc,Casting_class1,feature_ae,RD V36 soft ROI calibrated rerun,rd_v36_soft_roi_calibrated_rerun,reverse distillation resnet18 layer2+layer3,ROI V36,soft ROI precision,,0.8684,0.9221,,0.9814,0.3775,,0.1415,,,,,pixel_ap,Final retained scoring configuration after rerun calibration,reports/casting_roi_rd_ae/calibration/Casting_class1_rd_ae_v36_test/calibration_summary.json,"layer2=0.65; layer3=0.35; median3; soft_map; ROI threshold 0.5; top-k 0.005"
40,calibration,posthoc,Casting_class1,feature_ae,RD V36 previous soft ROI AUPIMO,rd_v36_soft_roi_aupimo_legacy,reverse distillation resnet18 layer2+layer3,ROI V36,soft ROI AUPIMO,, ,0.9366,,,0.3031,,0.1248,,,,,aupimo,Historical alternative calibration; kept for traceability,reports/docs/synthese_projet.md,
41,quality_heatmap,display_threshold,Casting_class1,visualization,Quality heatmap threshold 0.38 legacy,rd_v36_quality_display_threshold_038,reverse distillation resnet18 layer2+layer3,ROI V36,soft ROI,0.38, ,,,,0.3008,,0.1218,,,0.0546,0.8019,4.91,pixel_ap,Legacy inspector-friendly rendering; regenerate threshold metrics for rerun calibration,reports/casting_roi_rd_ae/heatmaps/quality_heatmaps_thresholded,
42,quality_heatmap,display_threshold,Casting_class1,visualization,Quality heatmap threshold 0.28 sensitive legacy,rd_v36_quality_display_threshold_028,reverse distillation resnet18 layer2+layer3,ROI V36,soft ROI,0.28, ,,,,0.3048,,0.1218,,,0.0364,0.8685,7.97,display_recall,Legacy sensitive rendering; regenerate threshold metrics for rerun calibration,reports/casting_roi_rd_ae/heatmaps/quality_heatmaps_thresholded,

